n, m, time
250, 15, 0.29317
250, 180, 0.159311
250, 345, 0.121826
250, 510, 0.110428
250, 675, 0.117358
250, 840, 0.0998495
250, 1005, 0.119245
250, 1170, 0.0958458
250, 1335, 0.08932
250, 1500, 0.0819382
3000, 15, 3.31256
3000, 180, 3.24352
3000, 345, 2.56973
3000, 510, 1.64854
3000, 675, 1.58501
3000, 840, 1.383
3000, 1005, 1.24659
3000, 1170, 1.44946
3000, 1335, 1.20456
3000, 1500, 1.09635
5750, 15, 6.17001
5750, 180, 6.73158
5750, 345, 6.57777
5750, 510, 4.99063
5750, 675, 3.7566
5750, 840, 3.71584
5750, 1005, 3.42525
5750, 1170, 3.08301
5750, 1335, 2.81797
5750, 1500, 3.67824
8500, 15, 12.9227
8500, 180, 11.9529
8500, 345, 12.2031
8500, 510, 11.2752
8500, 675, 8.40031
8500, 840, 7.00452
8500, 1005, 6.63716
8500, 1170, 5.39503
8500, 1335, 5.48206
8500, 1500, 4.73822
11250, 15, 15.2101
11250, 180, 19.6265
11250, 345, 16.6075
11250, 510, 16.3996
11250, 675, 12.854
11250, 840, 13.5121
11250, 1005, 13.4434
11250, 1170, 11.7086
11250, 1335, 11.9302
11250, 1500, 10.163
14000, 15, 25.8665
14000, 180, 28.7178
14000, 345, 23.1423
14000, 510, 23.6939
14000, 675, 21.0526
14000, 840, 18.5015
14000, 1005, 22.622
14000, 1170, 18.475
14000, 1335, 14.9829
14000, 1500, 17.2569
16750, 15, 33.3884
16750, 180, 31.923
16750, 345, 29.4641
16750, 510, 30.2916
16750, 675, 25.588
16750, 840, 23.111
16750, 1005, 21.237
16750, 1170, 22.7008
16750, 1335, 20.5127
16750, 1500, 20.2213
19500, 15, 39.9953
19500, 180, 45.8386
19500, 345, 43.2588
19500, 510, 36.3938
19500, 675, 37.5438
19500, 840, 34.1397
19500, 1005, 28.3135
19500, 1170, 30.9905
19500, 1335, 33.2178
19500, 1500, 31.7832
22250, 15, 52.3889
22250, 180, 63.3476
22250, 345, 54.6241
22250, 510, 71.4946
22250, 675, 56.3579
22250, 840, 47.0137
22250, 1005, 50.8609
22250, 1170, 55.7402
22250, 1335, 52.0082
22250, 1500, 46.6472
